customer_id,gender,age,under_30,senior_citizen,partner,dependents,number_of_dependents,married
0002-ORFBO,Female,37,No,No,Yes,No,0,Yes
0003-MKNFE,Male,46,No,No,No,No,0,No
0004-TLHLJ,Male,50,No,No,No,No,0,No
0011-IGKFF,Male,78,No,Yes,Yes,No,0,Yes
0013-EXCHZ,Female,75,No,Yes,Yes,No,0,Yes
0013-MHZWF,Female,23,Yes,No,No,Yes,3,No
0013-SMEOE,Female,67,No,Yes,Yes,No,0,Yes
0014-BMAQU,Male,52,No,No,Yes,No,0,Yes
0015-UOCOJ,Female,68,No,Yes,No,No,0,No
0016-QLJIS,Female,43,No,No,Yes,Yes,1,Yes
0017-DINOC,Male,47,No,No,No,No,0,No
0017-IUDMW,Female,25,Yes,No,Yes,Yes,2,Yes
0018-NYROU,Female,58,No,No,Yes,No,0,Yes
0019-EFAEP,Female,32,No,No,No,No,0,No
0019-GFNTW,Female,39,No,No,No,No,0,No
0020-INWCK,Female,58,No,No,Yes,Yes,2,Yes
0020-JDNXP,Female,52,No,No,Yes,Yes,1,Yes
0021-IKXGC,Female,72,No,Yes,No,No,0,No
0022-TCJCI,Male,79,No,Yes,No,No,0,No
0023-HGHWL,Male,67,No,Yes,No,No,0,No
0023-UYUPN,Female,79,No,Yes,Yes,No,0,Yes
0023-XUOPT,Female,26,Yes,No,Yes,No,0,Yes
0027-KWYKW,Female,30,No,No,Yes,Yes,2,Yes
0030-FNXPP,Female,22,Yes,No,No,No,0,No
0031-PVLZI,Female,34,No,No,Yes,No,0,Yes
0032-PGELS,Female,37,No,No,Yes,Yes,1,Yes
0036-IHMOT,Female,37,No,No,Yes,Yes,3,Yes
0040-HALCW,Male,42,No,No,Yes,Yes,3,Yes
0042-JVWOJ,Male,64,No,No,No,No,0,No
0042-RLHYP,Female,47,No,No,Yes,Yes,3,Yes
0048-LUMLS,Male,23,Yes,No,Yes,Yes,3,Yes
0048-PIHNL,Female,48,No,No,Yes,No,0,Yes
0052-DCKON,Male,28,Yes,No,Yes,No,0,Yes
0052-YNYOT,Female,28,Yes,No,No,No,0,No
0056-EPFBG,Male,33,No,No,Yes,Yes,1,Yes
0057-QBUQH,Female,31,No,No,No,Yes,3,No
0058-EVZWM,Female,37,No,No,Yes,No,0,Yes
