customer_id,country,state,city,zip_code,total_population,latitude,longitude
0002-ORFBO,United States,California,Frazier Park,93225,4498,34.827662,-118.999073
0003-MKNFE,United States,California,Glendale,91206,31297,34.162515,-118.203869
0004-TLHLJ,United States,California,Costa Mesa,92627,62069,33.645672,-117.922613
0011-IGKFF,United States,California,Martinez,94553,46677,38.014457,-122.115432
0013-EXCHZ,United States,California,Camarillo,93010,42853,34.227846,-119.079903
0013-MHZWF,United States,California,Midpines,95345,433,37.581496,-119.972762
0013-SMEOE,United States,California,Lompoc,93437,6165,34.757477,-120.550507
0014-BMAQU,United States,California,Napa,94558,63947,38.489789,-122.270110
0015-UOCOJ,United States,California,Simi Valley,93063,49027,34.296813,-118.685703
0016-QLJIS,United States,California,Sheridan,95681,1219,38.984756,-121.345074
0017-DINOC,United States,California,Rancho Santa Fe,92091,1072,32.993560,-117.207121
0017-IUDMW,United States,California,Sunnyvale,94086,64010,37.378541,-122.020456
0018-NYROU,United States,California,Antelope,95843,36432,38.715498,-121.363411
0019-EFAEP,United States,California,La Mesa,91942,24005,32.782501,-117.016110
0019-GFNTW,United States,California,Los Olivos,93441,1317,34.704340,-120.026090
0020-INWCK,United States,California,Woodlake,93286,8870,36.464635,-119.094348
0020-JDNXP,United States,California,Point Reyes Station,94956,1885,38.060264,-122.830646
0021-IKXGC,United States,California,San Marcos,92078,6760,33.119028,-117.166036
0022-TCJCI,United States,California,Daly City,94015,63337,37.680844,-122.481310
0023-HGHWL,United States,California,Morgan Hill,95037,41707,37.161544,-121.649371
0023-UYUPN,United States,California,Ahwahnee,93601,1968,37.375816,-119.739935
0023-XUOPT,United States,California,Carnelian Bay,96140,1943,39.227434,-120.091806
0027-KWYKW,United States,California,Alpaugh,93201,1054,35.869626,-119.498771
0030-FNXPP,United States,California,Keeler,93530,71,36.560498,-117.962461
0031-PVLZI,United States,California,Korbel,95550,155,40.766600,-123.804580
0032-PGELS,United States,California,Palomar Mountain,92060,234,33.309852,-116.823091
0036-IHMOT,United States,California,Parlier,93648,12587,36.622237,-119.521126
0040-HALCW,United States,California,Modesto,95358,30668,37.612612,-121.108568
0042-JVWOJ,United States,California,Glen Ellen,95442,4101,38.368744,-122.522642
0042-RLHYP,United States,California,Eureka,95503,23570,40.737431,-124.108897
0048-LUMLS,United States,California,Moss Beach,94038,3064,37.515556,-122.502311
0048-PIHNL,United States,California,Los Angeles,90058,3642,34.001617,-118.222274
0052-DCKON,United States,California,Los Angeles,90063,55668,34.044271,-118.185237
0052-YNYOT,United States,California,Calexico,92231,27804,32.690654,-115.431225
0056-EPFBG,United States,California,Redding,96003,41476,40.677649,-122.294670
0057-QBUQH,United States,California,San Martin,95046,5671,37.084697,-121.606417
0058-EVZWM,United States,California,Stockton,95209,30814,38.044523,-121.348048
0060-FUALY,United States,California,Los Angeles,90003,58198,33.964131,-118.272783
0064-SUDOG,United States,California,Huntington Park,90255,78114,33.978030,-118.217141
0064-YIJGF,United States,California,Yermo,92398,1195,35.013299,-116.834092
0067-DKWBL,United States,California,San Diego,92129,47224,32.961064,-117.134917
0068-FIGTF,United States,California,Fremont,94539,46917,37.516791,-121.899117
0071-NDAFP,United States,California,Santa Rosa,95405,22250,38.439696,-122.668817
0074-HDKDG,United States,California,San Jose,95126,27023,37.327069,-121.916819
0076-LVEPS,United States,California,Tujunga,91042,26753,34.296574,-118.244839
0078-XZMHT,United States,California,Visalia,93291,36718,36.391777,-119.372842
0080-EMYVY,United States,California,Lodi,95240,45755,38.123544,-121.159078
0080-OROZO,United States,California,El Portal,95318,579,37.654551,-119.822984
0082-LDZUE,United States,California,Calistoga,94515,7384,38.629618,-122.593216
0082-OQIQY,United States,California,Farmington,95230,596,37.956963,-120.863055
0083-PIVIK,United States,California,Tulelake,96134,2595,41.813521,-121.492666
0089-IIQKO,United States,California,Coleville,96107,1332,38.425280,-119.475741
0093-EXYQL,United States,California,Ojai,93023,21633,34.581308,-118.931948
0093-XWZFY,United States,California,Desert Hot Springs,92241,5529,33.832799,-116.250973
0094-OIFMO,United States,California,North Hollywood,91605,57146,34.207295,-118.400022
0096-BXERS,United States,California,Inverness,94937,1004,38.099323,-122.945723
0096-FCPUF,United States,California,Santa Rosa,95404,35057,38.526941,-122.709096
0098-BOWSO,United States,California,San Jose,95131,26389,37.387027,-121.897775
