customer_id,phone_service,internet_service,online_security,online_backup,device_protection,premium_tech_support,streaming_tv,streaming_movies,streaming_music,internet_type
0002-ORFBO,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Cable
0003-MKNFE,Yes,Yes,No,No,No,No,No,Yes,Yes,Cable
0004-TLHLJ,Yes,Yes,No,No,Yes,No,No,No,No,Fiber Optic
0011-IGKFF,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Fiber Optic
0013-EXCHZ,Yes,Yes,No,No,No,Yes,Yes,No,No,Fiber Optic
0013-MHZWF,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Cable
0013-SMEOE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic
0014-BMAQU,Yes,Yes,Yes,No,No,Yes,No,No,No,Fiber Optic
0015-UOCOJ,Yes,Yes,Yes,No,No,No,No,No,No,DSL
0016-QLJIS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cable
0017-DINOC,No,Yes,Yes,No,No,Yes,Yes,No,No,Cable
0017-IUDMW,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic
0018-NYROU,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic
0019-EFAEP,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Fiber Optic
0019-GFNTW,No,Yes,Yes,Yes,Yes,Yes,No,No,No,DSL
0020-INWCK,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Fiber Optic
0020-JDNXP,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,DSL
0021-IKXGC,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic
0022-TCJCI,Yes,Yes,Yes,No,Yes,No,No,Yes,No,DSL
0023-HGHWL,No,Yes,No,No,No,No,No,No,No,Cable
0023-UYUPN,Yes,No,No,No,No,No,No,No,No,None
0023-XUOPT,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Fiber Optic
0027-KWYKW,Yes,Yes,No,No,No,No,Yes,No,No,Fiber Optic
0030-FNXPP,Yes,No,No,No,No,No,No,No,No,None
0031-PVLZI,Yes,No,No,No,No,No,No,No,No,None
0032-PGELS,No,Yes,Yes,No,No,No,No,No,No,DSL
0036-IHMOT,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic
0040-HALCW,Yes,No,No,No,No,No,No,No,No,None
0042-JVWOJ,Yes,No,No,No,No,No,No,No,No,None
0042-RLHYP,Yes,No,No,No,No,No,No,No,No,None
0048-LUMLS,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Fiber Optic
0048-PIHNL,Yes,No,No,No,No,No,No,No,No,None
0052-DCKON,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic
0052-YNYOT,Yes,No,No,No,No,No,No,No,No,None
0056-EPFBG,No,Yes,Yes,No,Yes,Yes,No,No,No,Cable
0057-QBUQH,Yes,No,No,No,No,No,No,No,No,None
0058-EVZWM,Yes,Yes,Yes,No,No,No,Yes,No,No,Fiber Optic
0060-FUALY,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Fiber Optic
0064-SUDOG,Yes,No,No,No,No,No,No,No,No,None
0064-YIJGF,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic
0067-DKWBL,Yes,Yes,Yes,No,No,No,No,No,No,DSL
0068-FIGTF,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,DSL
0071-NDAFP,Yes,No,No,No,No,No,No,No,No,None
0074-HDKDG,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Cable
0076-LVEPS,No,Yes,Yes,Yes,Yes,Yes,No,No,No,DSL
0078-XZMHT,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,DSL
0080-EMYVY,Yes,Yes,No,Yes,No,No,No,No,No,Cable
0080-OROZO,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Fiber Optic
0082-LDZUE,Yes,Yes,No,No,No,No,No,No,No,DSL
0082-OQIQY,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Fiber Optic
0083-PIVIK,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,DSL
0089-IIQKO,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Fiber Optic
0093-EXYQL,Yes,Yes,No,No,No,No,Yes,Yes,No,Fiber Optic
0093-XWZFY,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic
0094-OIFMO,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Fiber Optic
0096-BXERS,Yes,Yes,No,No,No,No,No,No,No,Cable
0096-FCPUF,Yes,Yes,Yes,No,No,No,No,Yes,Yes,DSL
0098-BOWSO,Yes,No,No,No,No,No,No,No,No,None
0100-DUVFC,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Fiber Optic
0103-CSITQ,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic
0104-PPXDV,Yes,Yes,No,No,Yes,No,No,No,No,DSL
0106-GHRQR,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,DSL
0106-UGRDO,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic
0107-WESLM,Yes,No,No,No,No,No,No,No,No,None
0107-YHINA,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic
0111-KLBQG,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Fiber Optic
0112-QAWRZ,Yes,Yes,No,No,Yes,No,Yes,No,No,Fiber Optic
0112-QWPNC,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Cable
0114-IGABW,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Cable
0114-PEGZZ,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic
0114-RSRRW,Yes,No,No,No,No,No,No,No,No,None
0115-TFERT,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic
0117-LFRMW,No,Yes,Yes,Yes,Yes,No,No,No,No,DSL
0118-JPNOY,Yes,Yes,Yes,No,No,No,Yes,No,No,Fiber Optic
0121-SNYRK,No,Yes,Yes,No,No,Yes,No,No,No,DSL
0122-OAHPZ,Yes,Yes,No,No,No,No,No,No,Yes,Fiber Optic
0123-CRBRT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DSL
0125-LZQXK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Fiber Optic
0128-MKWSG,No,Yes,Yes,No,No,Yes,No,Yes,Yes,DSL
0129-KPTWJ,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic
0129-QMPDR,Yes,No,No,No,No,No,No,No,No,None
0130-SXOUN,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Fiber Optic
0133-BMFZO,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Fiber Optic
0134-XWXCE,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,DSL
0135-NMXAP,Yes,Yes,No,Yes,No,No,Yes,No,No,Fiber Optic
0136-IFMYD,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Fiber Optic
0137-OCGAB,Yes,Yes,No,Yes,No,No,No,No,No,Fiber Optic
0137-UDEUO,Yes,No,No,No,No,No,No,No,No,None
0139-IVFJG,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Fiber Optic
0141-YEAYS,Yes,Yes,No,Yes,Yes,No,No,No,No,Fiber Optic
0142-GVYSN,Yes,No,No,No,No,No,No,No,No,None
0147-ESWWR,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Fiber Optic
0148-DCDOS,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Fiber Optic
