customer_id,contract,paperless_billing,payment_method,monthly_ charges,avg_monthly_long_distance_charges,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue
0002-ORFBO,One Year,Yes,Mailed check,65.6,42.39,593.3,0,0,381.51,974.81
0003-MKNFE,Month-to-Month,No,Mailed check,59.9,10.69,542.4,38.33,10,96.21,610.28
0004-TLHLJ,Month-to-Month,Yes,Electronic check,73.9,33.65,280.85,0,0,134.6,415.45
0011-IGKFF,Month-to-Month,Yes,Electronic check,98,27.82,1237.85,0,0,361.66,1599.51
0013-EXCHZ,Month-to-Month,Yes,Mailed check,83.9,7.38,267.4,0,0,22.14,289.54
0013-MHZWF,Month-to-Month,Yes,Credit card (automatic),69.4,16.77,571.45,0,0,150.93,722.38
0013-SMEOE,Two Year,Yes,Bank transfer (automatic),109.7,9.96,7904.25,0,0,707.16,8611.41
0014-BMAQU,Two Year,Yes,Credit card (automatic),84.65,12.96,5377.8,0,20,816.48,6214.28
0015-UOCOJ,Two Year,Yes,Electronic check,48.2,10.53,340.35,0,0,73.71,414.06
0016-QLJIS,Two Year,Yes,Mailed check,90.45,28.46,5957.9,0,0,1849.9,7807.8
0017-DINOC,Two Year,No,Credit card (automatic),45.2,0,2460.55,0,0,0,2460.55
0017-IUDMW,Two Year,Yes,Credit card (automatic),116.8,16.01,8456.75,0,0,1152.72,9609.47
0018-NYROU,Month-to-Month,Yes,Electronic check,68.95,18.65,351.5,0,0,93.25,444.75
0019-EFAEP,Two Year,Yes,Bank transfer (automatic),101.3,2.25,7261.25,0,0,162,7423.25
0019-GFNTW,Two Year,No,Bank transfer (automatic),45.05,0,2560.1,0,0,0,2560.1
0020-INWCK,Two Year,Yes,Credit card (automatic),95.75,27.26,6849.4,0,0,1935.46,8784.86
0020-JDNXP,One Year,No,Mailed check,61.25,0,1993.2,0,0,0,1993.2
0021-IKXGC,One Year,Yes,Electronic check,72.1,7.77,72.1,0,0,7.77,79.87
0022-TCJCI,One Year,No,Credit card (automatic),62.7,10.67,2791.5,0,0,480.15,3271.65
0023-HGHWL,Month-to-Month,Yes,Electronic check,25.1,0,25.1,0,0,0,25.1
0023-UYUPN,One Year,No,Electronic check,25.2,31.43,1306.3,0,0,1571.5,2877.8
0023-XUOPT,Month-to-Month,No,Electronic check,94.1,43.56,1215.6,0,0,566.28,1781.88
0027-KWYKW,Month-to-Month,Yes,Electronic check,83.75,34.91,1849.95,0,0,802.93,2652.88
0030-FNXPP,Month-to-Month,No,Mailed check,19.85,3.12,57.2,0,0,9.36,66.56
0031-PVLZI,Month-to-Month,No,Mailed check,20.35,12.43,76.35,0,0,49.72,126.07
0032-PGELS,Month-to-Month,No,Bank transfer (automatic),30.5,0,30.5,0,0,0,30.5
0036-IHMOT,One Year,Yes,Bank transfer (automatic),103.7,35.04,5656.75,0,20,1927.2,7603.95
0040-HALCW,Two Year,No,Credit card (automatic),20.4,19.7,1090.6,0,0,1063.8,2154.4
0042-JVWOJ,One Year,Yes,Bank transfer (automatic),19.6,37.7,471.85,21.25,0,980.2,1430.8
0042-RLHYP,Two Year,No,Bank transfer (automatic),19.7,38.39,1396.9,0,0,2648.91,4045.81
0048-LUMLS,One Year,No,Credit card (automatic),91.2,43.01,3247.55,0,0,1591.37,4838.92
0048-PIHNL,One Year,No,Bank transfer (automatic),20.45,49.58,900.9,0,0,2429.42,3330.32
0052-DCKON,One Year,No,Bank transfer (automatic),115.8,43.77,7942.15,0,0,2888.82,10830.97
0052-YNYOT,One Year,No,Electronic check,20.55,23.12,1343.4,30.53,0,1549.04,2861.91
0056-EPFBG,Two Year,Yes,Credit card (automatic),39.4,0,825.4,0,0,0,825.4
0057-QBUQH,Two Year,Yes,Electronic check,25.1,30.64,1070.15,0,0,1317.52,2387.67
0058-EVZWM,Month-to-Month,Yes,Bank transfer (automatic),89.8,5.08,4959.6,0,0,279.4,5239
0060-FUALY,Month-to-Month,Yes,Electronic check,94.75,16.39,5597.65,0,0,967.01,6564.66
0064-SUDOG,Two Year,No,Bank transfer (automatic),20.3,19.28,224.5,0,0,231.36,455.86
0064-YIJGF,Month-to-Month,Yes,Bank transfer (automatic),75.75,25.26,1929,0,0,682.02,2611.02
0067-DKWBL,Month-to-Month,Yes,Electronic check,49.25,43.99,91.1,0,0,87.98,179.08
0068-FIGTF,One Year,No,Mailed check,78.2,48.91,2078.95,0,0,1320.57,3399.52
0071-NDAFP,Two Year,No,Credit card (automatic),25.5,23.69,630.6,44.42,0,592.25,1178.43
0074-HDKDG,One Year,Yes,Bank transfer (automatic),61.6,6.45,1611,44.9,0,161.25,1727.35
0076-LVEPS,Month-to-Month,Yes,Mailed check,45,0,1242.45,12.26,0,0,1230.19
0078-XZMHT,Two Year,Yes,Bank transfer (automatic),85.15,32.36,6316.2,0,0,2329.92,8646.12
0080-EMYVY,One Year,No,Credit card (automatic),51.45,24.04,727.85,0,0,336.56,1064.41
0080-OROZO,One Year,Yes,Electronic check,99.25,36.42,3532,0,0,1274.7,4806.7
