customer_id,satisfaction_score,cltv,customer_status,churn_score,churn_label,churn_value,churn_category,churn_reason
0002-ORFBO,3,2205,Stayed,65,No,0,Not Applicable,N/A
0003-MKNFE,5,5414,Stayed,66,No,0,Not Applicable,N/A
0004-TLHLJ,1,4479,Churned,71,Yes,1,Competitor,Competitor had better devices
0011-IGKFF,1,3714,Churned,91,Yes,1,Dissatisfaction,Product dissatisfaction
0013-EXCHZ,1,3464,Churned,68,Yes,1,Dissatisfaction,Network reliability
0013-MHZWF,3,5108,Stayed,55,No,0,Not Applicable,N/A
0013-SMEOE,3,5011,Stayed,26,No,0,Not Applicable,N/A
0014-BMAQU,4,4604,Stayed,49,No,0,Not Applicable,N/A
0015-UOCOJ,3,5525,Stayed,34,No,0,Not Applicable,N/A
0016-QLJIS,3,5509,Stayed,25,No,0,Not Applicable,N/A
0017-DINOC,4,5435,Stayed,54,No,0,Not Applicable,N/A
0017-IUDMW,3,6252,Stayed,52,No,0,Not Applicable,N/A
0018-NYROU,3,5536,Stayed,57,No,0,Not Applicable,N/A
0019-EFAEP,3,5513,Stayed,53,No,0,Not Applicable,N/A
0019-GFNTW,3,5795,Stayed,37,No,0,Not Applicable,N/A
0020-INWCK,5,4865,Stayed,26,No,0,Not Applicable,N/A
0020-JDNXP,4,3607,Stayed,37,No,0,Not Applicable,N/A
0021-IKXGC,4,4432,Joined,50,No,0,Not Applicable,N/A
0022-TCJCI,1,2654,Churned,92,Yes,1,Dissatisfaction,Limited range of services
0023-HGHWL,3,5437,Churned,85,Yes,1,Competitor,Competitor made better offer
0023-UYUPN,3,4015,Stayed,61,No,0,Not Applicable,N/A
0023-XUOPT,1,2973,Churned,75,Yes,1,Other,Don't know
0027-KWYKW,4,3585,Stayed,78,No,0,Not Applicable,N/A
0030-FNXPP,4,5634,Joined,59,No,0,Not Applicable,N/A
0031-PVLZI,1,4133,Churned,81,Yes,1,Price,Long distance charges
0032-PGELS,1,5171,Churned,74,Yes,1,Attitude,Attitude of service provider
0036-IHMOT,3,5892,Stayed,65,No,0,Not Applicable,N/A
0040-HALCW,4,6393,Stayed,60,No,0,Not Applicable,N/A
0042-JVWOJ,4,3722,Stayed,26,No,0,Not Applicable,N/A
0042-RLHYP,5,4131,Stayed,76,No,0,Not Applicable,N/A
0048-LUMLS,5,5263,Stayed,55,No,0,Not Applicable,N/A
0048-PIHNL,3,6061,Stayed,20,No,0,Not Applicable,N/A
0052-DCKON,3,5845,Stayed,42,No,0,Not Applicable,N/A
0052-YNYOT,5,5462,Stayed,72,No,0,Not Applicable,N/A
0056-EPFBG,3,3899,Stayed,29,No,0,Not Applicable,N/A
0057-QBUQH,4,4797,Stayed,59,No,0,Not Applicable,N/A
0058-EVZWM,3,5875,Stayed,42,No,0,Not Applicable,N/A
0060-FUALY,3,5238,Stayed,26,No,0,Not Applicable,N/A
0064-SUDOG,5,5190,Stayed,57,No,0,Not Applicable,N/A
0064-YIJGF,3,4994,Stayed,46,No,0,Not Applicable,N/A
0067-DKWBL,2,3475,Churned,95,Yes,1,Competitor,Competitor made better offer
0068-FIGTF,3,2297,Stayed,54,No,0,Not Applicable,N/A
0071-NDAFP,3,5230,Stayed,65,No,0,Not Applicable,N/A
0074-HDKDG,3,3807,Stayed,66,No,0,Not Applicable,N/A
0076-LVEPS,4,3290,Stayed,73,No,0,Not Applicable,N/A
0078-XZMHT,3,6322,Stayed,76,No,0,Not Applicable,N/A
0080-EMYVY,3,4298,Stayed,57,No,0,Not Applicable,N/A
0080-OROZO,3,3244,Stayed,36,No,0,Not Applicable,N/A
0082-LDZUE,5,4427,Joined,57,No,0,Not Applicable,N/A
0082-OQIQY,5,4561,Stayed,60,No,0,Not Applicable,N/A
0083-PIVIK,3,4761,Stayed,67,No,0,Not Applicable,N/A
0089-IIQKO,3,4447,Stayed,43,No,0,Not Applicable,N/A
0093-EXYQL,3,5742,Stayed,59,No,0,Not Applicable,N/A
0093-XWZFY,1,2832,Churned,93,Yes,1,Competitor,Competitor had better devices
0094-OIFMO,1,5980,Churned,85,Yes,1,Dissatisfaction,Product dissatisfaction
0096-BXERS,3,3442,Stayed,74,No,0,Not Applicable,N/A
0096-FCPUF,3,5039,Stayed,48,No,0,Not Applicable,N/A
0098-BOWSO,5,3792,Stayed,39,No,0,Not Applicable,N/A
0100-DUVFC,5,5291,Stayed,57,No,0,Not Applicable,N/A
0103-CSITQ,5,6026,Stayed,65,No,0,Not Applicable,N/A
0104-PPXDV,5,5232,Stayed,30,No,0,Not Applicable,N/A
0106-GHRQR,5,3360,Stayed,39,No,0,Not Applicable,N/A
0106-UGRDO,3,4216,Stayed,37,No,0,Not Applicable,N/A
0107-WESLM,2,3874,Churned,66,Yes,1,Attitude,Attitude of support person
0107-YHINA,1,4214,Churned,93,Yes,1,Competitor,Competitor had better devices
0111-KLBQG,5,2844,Stayed,62,No,0,Not Applicable,N/A
0112-QAWRZ,3,5560,Stayed,66,No,0,Not Applicable,N/A
0112-QWPNC,2,6452,Churned,73,Yes,1,Competitor,Competitor offered higher download speeds
0114-IGABW,5,5224,Stayed,76,No,0,Not Applicable,N/A
0114-PEGZZ,3,4800,Stayed,33,No,0,Not Applicable,N/A
0114-RSRRW,4,3831,Stayed,54,No,0,Not Applicable,N/A
0115-TFERT,3,4123,Churned,89,Yes,1,Attitude,Attitude of service provider
0117-LFRMW,2,3627,Churned,80,Yes,1,Competitor,Competitor offered more data
0118-JPNOY,3,5700,Stayed,46,No,0,Not Applicable,N/A
0121-SNYRK,3,5052,Stayed,36,No,0,Not Applicable,N/A
0122-OAHPZ,3,2473,Churned,67,Yes,1,Competitor,Competitor made better offer
0123-CRBRT,4,5152,Stayed,40,No,0,Not Applicable,N/A
0125-LZQXK,2,3025,Churned,91,Yes,1,Attitude,Attitude of service provider
0128-MKWSG,4,3287,Stayed,45,No,0,Not Applicable,N/A
0129-KPTWJ,3,5943,Stayed,20,No,0,Not Applicable,N/A
0129-QMPDR,3,3093,Stayed,59,No,0,Not Applicable,N/A
0130-SXOUN,3,4889,Stayed,49,No,0,Not Applicable,N/A
0133-BMFZO,2,3529,Churned,94,Yes,1,Competitor,Competitor offered higher download speeds
0134-XWXCE,5,3253,Stayed,71,No,0,Not Applicable,N/A
0135-NMXAP,3,5671,Churned,90,Yes,1,Attitude,Attitude of support person
0136-IFMYD,5,4297,Stayed,63,No,0,Not Applicable,N/A
0137-OCGAB,3,3056,Churned,90,Yes,1,Price,Lack of affordable download/upload speed
0137-UDEUO,1,3398,Churned,95,Yes,1,Price,Long distance charges
