customer_id;customer_status;refer_a_friend;num_referrals;tenure_months;offer;phone_service;avg_monthly_longdist_charge;multiple_lines;internet_service;internet_type;avg_monthly_gb_download;online_security;online_backup;device_protection_plan;premium_tech_support;streaming_tv;streaming_movies;streaming_music;unlimited_data;contract;paperless_billing;payment_method;monthly_charge;total_charges;total_refunds;total_extra_charges;total_longdist_charges;total_revenue
0002-ORFBO;Stayed;Yes;2;9;None;Yes;42,39;No;Yes;Cable;16;No;Yes;No;Yes;Yes;No;No;Yes;One Year;Yes;Credit Card;65,6;593,3;0;0;381,51;974,81
0003-MKNFE;Stayed;No;0;9;None;Yes;10,69;Yes;Yes;Cable;10;No;No;No;No;No;Yes;Yes;No;Month-to-Month;No;Credit Card;59,9;542,4;38,33;10;96,21;610,28
0004-TLHLJ;Churned;No;0;4;Offer E;Yes;33,65;No;Yes;Fiber Optic;30;No;No;Yes;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;73,9;280,85;0;0;134,6;415,45
0011-IGKFF;Churned;Yes;1;13;Offer D;Yes;27,82;No;Yes;Fiber Optic;4;No;Yes;Yes;No;Yes;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;98;1237,85;0;0;361,66;1599,51
0013-EXCHZ;Churned;Yes;3;3;None;Yes;7,38;No;Yes;Fiber Optic;11;No;No;No;Yes;Yes;No;No;Yes;Month-to-Month;Yes;Credit Card;83,9;267,4;0;0;22,14;289,54
0013-MHZWF;Stayed;No;0;9;Offer E;Yes;16,77;No;Yes;Cable;73;No;No;No;Yes;Yes;Yes;Yes;Yes;Month-to-Month;Yes;Credit Card;69,4;571,45;0;0;150,93;722,38
0013-SMEOE;Stayed;Yes;1;71;Offer A;Yes;9,96;No;Yes;Fiber Optic;14;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Two Year;Yes;Bank Withdrawal;109,7;7904,25;0;0;707,16;8611,41
0014-BMAQU;Stayed;Yes;8;63;Offer B;Yes;12,96;Yes;Yes;Fiber Optic;7;Yes;No;No;Yes;No;No;No;No;Two Year;Yes;Credit Card;84,65;5377,8;0;20;816,48;6214,28
0015-UOCOJ;Stayed;No;0;7;Offer E;Yes;10,53;No;Yes;DSL;21;Yes;No;No;No;No;No;No;Yes;Two Year;Yes;Bank Withdrawal;48,2;340,35;0;0;73,71;414,06
0016-QLJIS;Stayed;Yes;3;65;None;Yes;28,46;Yes;Yes;Cable;14;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Two Year;Yes;Credit Card;90,45;5957,9;0;0;1849,9;7807,8
0017-DINOC;Stayed;No;0;54;None;No;0;No;Yes;Cable;10;Yes;No;No;Yes;Yes;No;No;Yes;Two Year;No;Credit Card;45,2;2460,55;0;0;0;2460,55
0017-IUDMW;Stayed;Yes;2;72;None;Yes;16,01;Yes;Yes;Fiber Optic;59;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Two Year;Yes;Credit Card;116,8;8456,75;0;0;1152,72;9609,47
0018-NYROU;Stayed;No;0;5;None;Yes;18,65;No;Yes;Fiber Optic;10;No;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;68,95;351,5;0;0;93,25;444,75
0019-EFAEP;Stayed;No;0;72;Offer A;Yes;2,25;Yes;Yes;Fiber Optic;16;Yes;Yes;Yes;No;Yes;No;No;Yes;Two Year;Yes;Bank Withdrawal;101,3;7261,25;0;0;162;7423,25
0019-GFNTW;Stayed;No;0;56;None;No;0;No;Yes;DSL;19;Yes;Yes;Yes;Yes;No;No;No;Yes;Two Year;No;Bank Withdrawal;45,05;2560,1;0;0;0;2560,1
0020-INWCK;Stayed;Yes;9;71;Offer A;Yes;27,26;Yes;Yes;Fiber Optic;12;No;Yes;Yes;No;No;Yes;Yes;Yes;Two Year;Yes;Credit Card;95,75;6849,4;0;0;1935,46;8784,86
0020-JDNXP;Stayed;No;0;34;None;No;0;No;Yes;DSL;20;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;One Year;No;Credit Card;61,25;1993,2;0;0;0;1993,2
0021-IKXGC;Joined;No;0;1;Offer E;Yes;7,77;Yes;Yes;Fiber Optic;22;No;No;No;No;No;No;No;Yes;One Year;Yes;Bank Withdrawal;72,1;72,1;0;0;7,77;79,87
0022-TCJCI;Churned;No;0;45;None;Yes;10,67;No;Yes;DSL;17;Yes;No;Yes;No;No;Yes;No;Yes;One Year;No;Credit Card;62,7;2791,5;0;0;480,15;3271,65
0023-HGHWL;Churned;No;0;1;None;No;0;No;Yes;Cable;9;No;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;25,1;25,1;0;0;0;25,1
0023-UYUPN;Stayed;No;0;50;None;Yes;31,43;Yes;No;None;0;No;No;No;No;No;No;No;No;One Year;No;Bank Withdrawal;25,2;1306,3;0;0;1571,5;2877,8
0023-XUOPT;Churned;Yes;1;13;None;Yes;43,56;Yes;Yes;Fiber Optic;52;No;Yes;Yes;No;Yes;No;No;Yes;Month-to-Month;No;Bank Withdrawal;94,1;1215,6;0;0;566,28;1781,88
0027-KWYKW;Stayed;Yes;1;23;Offer D;Yes;34,91;Yes;Yes;Fiber Optic;30;No;No;No;No;Yes;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;83,75;1849,95;0;0;802,93;2652,88
0030-FNXPP;Joined;No;0;3;None;Yes;3,12;No;No;None;0;No;No;No;No;No;No;No;No;Month-to-Month;No;Credit Card;19,85;57,2;0;0;9,36;66,56
0031-PVLZI;Churned;No;0;4;Offer E;Yes;12,43;No;No;None;0;No;No;No;No;No;No;No;No;Month-to-Month;No;Credit Card;20,35;76,35;0;0;49,72;126,07
0032-PGELS;Churned;Yes;1;1;None;No;0;No;Yes;DSL;19;Yes;No;No;No;No;No;No;Yes;Month-to-Month;No;Bank Withdrawal;30,5;30,5;0;0;0;30,5
0036-IHMOT;Stayed;Yes;10;55;None;Yes;35,04;No;Yes;Fiber Optic;57;No;Yes;Yes;Yes;Yes;Yes;Yes;No;One Year;Yes;Bank Withdrawal;103,7;5656,75;0;20;1927,2;7603,95
0040-HALCW;Stayed;Yes;3;54;None;Yes;19,7;No;No;None;0;No;No;No;No;No;No;No;No;Two Year;No;Credit Card;20,4;1090,6;0;0;1063,8;2154,4
0042-JVWOJ;Stayed;No;0;26;Offer C;Yes;37,7;No;No;None;0;No;No;No;No;No;No;No;No;One Year;Yes;Bank Withdrawal;19,6;471,85;21,25;0;980,2;1430,8
0042-RLHYP;Stayed;Yes;5;69;None;Yes;38,39;No;No;None;0;No;No;No;No;No;No;No;No;Two Year;No;Bank Withdrawal;19,7;1396,9;0;0;2648,91;4045,81
0048-LUMLS;Stayed;Yes;1;37;Offer C;Yes;43,01;No;Yes;Fiber Optic;51;No;No;No;No;Yes;Yes;Yes;Yes;One Year;No;Credit Card;91,2;3247,55;0;0;1591,37;4838,92
0048-PIHNL;Stayed;Yes;5;49;Offer B;Yes;49,58;No;No;None;0;No;No;No;No;No;No;No;No;One Year;No;Bank Withdrawal;20,45;900,9;0;0;2429,42;3330,32
0052-DCKON;Stayed;Yes;9;66;None;Yes;43,77;Yes;Yes;Fiber Optic;41;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;One Year;No;Bank Withdrawal;115,8;7942,15;0;0;2888,82;10830,97
0052-YNYOT;Stayed;No;0;67;None;Yes;23,12;No;No;None;0;No;No;No;No;No;No;No;No;One Year;No;Bank Withdrawal;20,55;1343,4;30,53;0;1549,04;2861,91
0056-EPFBG;Stayed;Yes;4;20;None;No;0;No;Yes;Cable;22;Yes;No;Yes;Yes;No;No;No;Yes;Two Year;Yes;Credit Card;39,4;825,4;0;0;0;825,4
0057-QBUQH;Stayed;No;0;43;None;Yes;30,64;Yes;No;None;0;No;No;No;No;No;No;No;No;Two Year;Yes;Bank Withdrawal;25,1;1070,15;0;0;1317,52;2387,67
0058-EVZWM;Stayed;Yes;2;55;Offer B;Yes;5,08;Yes;Yes;Fiber Optic;9;Yes;No;No;No;Yes;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;89,8;4959,6;0;0;279,4;5239
0060-FUALY;Stayed;Yes;4;59;Offer B;Yes;16,39;Yes;Yes;Fiber Optic;14;Yes;Yes;No;No;Yes;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;94,75;5597,65;0;0;967,01;6564,66
0064-SUDOG;Stayed;Yes;3;12;None;Yes;19,28;No;No;None;0;No;No;No;No;No;No;No;No;Two Year;No;Bank Withdrawal;20,3;224,5;0;0;231,36;455,86
0064-YIJGF;Stayed;Yes;7;27;Offer C;Yes;25,26;Yes;Yes;Fiber Optic;23;No;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;75,75;1929;0;0;682,02;2611,02
0067-DKWBL;Churned;No;0;2;None;Yes;43,99;No;Yes;DSL;27;Yes;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;49,25;91,1;0;0;87,98;179,08
0068-FIGTF;Stayed;No;0;27;Offer C;Yes;48,91;No;Yes;DSL;59;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;One Year;No;Credit Card;78,2;2078,95;0;0;1320,57;3399,52
0071-NDAFP;Stayed;Yes;1;25;None;Yes;23,69;Yes;No;None;0;No;No;No;No;No;No;No;No;Two Year;No;Credit Card;25,5;630,6;44,42;0;592,25;1178,43
0074-HDKDG;Stayed;Yes;5;25;None;Yes;6,45;No;Yes;Cable;19;Yes;Yes;Yes;No;No;No;No;Yes;One Year;Yes;Bank Withdrawal;61,6;1611;44,9;0;161,25;1727,35
0076-LVEPS;Stayed;No;0;29;None;No;0;No;Yes;DSL;21;Yes;Yes;Yes;Yes;No;No;No;Yes;Month-to-Month;Yes;Credit Card;45;1242,45;12,26;0;0;1230,19
0078-XZMHT;Stayed;Yes;5;72;None;Yes;32,36;Yes;Yes;DSL;52;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Two Year;Yes;Bank Withdrawal;85,15;6316,2;0;0;2329,92;8646,12
0080-EMYVY;Stayed;No;0;14;None;Yes;24,04;No;Yes;Cable;12;No;Yes;No;No;No;No;No;Yes;One Year;No;Credit Card;51,45;727,85;0;0;336,56;1064,41
0080-OROZO;Stayed;No;0;35;Offer C;Yes;36,42;No;Yes;Fiber Optic;2;No;No;Yes;Yes;Yes;Yes;Yes;Yes;One Year;Yes;Bank Withdrawal;99,25;3532;0;0;1274,7;4806,7
0082-LDZUE;Joined;No;0;1;Offer E;Yes;42,95;No;Yes;DSL;9;No;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Credit Card;44,3;44,3;0;0;42,95;87,25
